
 -  09:18:22.000 - 	INFO:	  Maze sizes set --X:50, Y:20-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:18-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:18-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:19-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:19-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:20-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:20-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:0-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:0-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:1-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:1-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:2-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:2-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:3-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:3-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:4-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:4-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:5-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:5-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:6-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:6-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:7-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:7-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:8-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:8-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:9-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:9-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:10-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:10-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:11-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:11-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:12-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:12-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:13-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:13-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:14-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:14-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:15-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:15-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:16-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:16-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:17-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:17-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:18-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:18-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:19-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:19-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:1, Y:20-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:1, Y:20-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:0-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:0-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:1-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:1-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:2-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:2-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:3-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:3-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:4-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:4-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:5-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:5-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:6-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:6-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:7-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:7-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:8-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:8-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:9-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:9-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:10-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:10-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:11-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:11-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:12-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:12-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:13-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:13-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:14-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:14-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:15-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:15-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:16-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:16-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:17-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:17-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:18-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:18-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:19-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:19-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:2, Y:20-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:2, Y:20-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:0-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:0-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:1-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:1-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:2-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:2-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:3-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:3-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:4-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:4-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:5-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:5-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:6-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:6-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:7-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:7-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:8-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:8-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:9-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:9-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:10-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:10-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:11-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:11-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:12-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:12-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:13-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:13-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:14-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:14-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:15-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:15-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:16-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:16-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:17-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:17-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:18-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:18-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:19-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:19-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:3, Y:20-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:3, Y:20-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:0-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:0-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:1-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:1-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:2-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:2-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:3-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:3-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:4-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:4-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:5-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:5-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:6-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:6-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:7-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:7-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:8-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:8-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:9-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:9-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:10-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:10-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:11-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:11-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:12-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:12-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:13-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:13-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:14-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:14-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:15-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:15-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:16-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:16-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:17-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:17-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:18-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:18-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:19-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:19-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:4, Y:20-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:4, Y:20-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:0-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:0-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:1-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:1-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:2-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:2-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:3-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:3-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:4-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:4-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:5-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:5-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:6-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:6-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:7-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:7-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:8-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:8-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:9-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:9-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:10-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:10-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:11-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:11-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:12-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:12-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:13-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:13-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:14-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:14-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:15-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:15-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:16-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:16-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:17-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:17-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:18-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:18-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:19-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:19-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:5, Y:20-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:5, Y:20-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:0-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:0-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:1-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:1-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:2-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:2-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:3-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:3-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:4-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:4-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:5-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:5-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:6-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:6-- 
 -  09:18:22.015 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:7-- 
 -  09:18:22.015 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:7-- 
 -  09:18:22.031 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:8-- 
 -  09:18:22.031 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:8-- 
 -  09:18:22.031 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:9-- 
 -  09:18:22.031 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:6, Y:9-- 
 -  09:18:22.031 - 	DEBUG4:		      Initialization Loop:  --X:6, Y:10-- 
